Month,Price,Change
Mar 1995,150.28,-2.62 %
Apr 1995,148.81,-0.98 %
May 1995,158.73,6.67 %
Jun 1995,170.12,7.18 %
Jul 1995,190.70,12.10 %
Aug 1995,184.45,-3.28 %
Sep 1995,193.64,4.98 %
Oct 1995,203.73,5.21 %
Nov 1995,203.93,0.10 %
Dec 1995,208.92,2.45 %
Jan 1996,206.88,-0.98 %
Feb 1996,218.89,5.81 %
Mar 1996,215.32,-1.63 %
Apr 1996,257.61,19.64 %
May 1996,262.11,1.75 %
Jun 1996,227.34,-13.27 %
Jul 1996,202.60,-10.88 %
Aug 1996,191.63,-5.41 %
Sep 1996,178.71,-6.74 %
Oct 1996,178.00,-0.40 %
Nov 1996,176.41,-0.89 %
Dec 1996,175.70,-0.40 %
Jan 1997,175.73,0.02 %
Feb 1997,172.35,-1.92 %
Mar 1997,176.61,2.47 %
Apr 1997,183.49,3.90 %
May 1997,172.59,-5.94 %
Jun 1997,148.39,-14.02 %
Jul 1997,136.21,-8.21 %
Aug 1997,150.61,10.57 %
Sep 1997,151.74,0.75 %
Oct 1997,151.59,-0.10 %
Nov 1997,149.88,-1.13 %
Dec 1997,144.62,-3.51 %
Jan 1998,137.10,-5.20 %
Feb 1998,140.05,2.15 %
Mar 1998,138.92,-0.81 %
Apr 1998,130.15,-6.31 %
May 1998,128.92,-0.95 %
Jun 1998,120.64,-6.42 %
Jul 1998,118.90,-1.44 %
Aug 1998,107.95,-9.21 %
Sep 1998,107.93,-0.02 %
Oct 1998,126.54,17.24 %
Nov 1998,130.21,2.90 %
Dec 1998,126.21,-3.07 %
Jan 1999,125.29,-0.73 %
Feb 1999,117.03,-6.59 %
Mar 1999,117.34,0.26 %
Apr 1999,113.87,-2.96 %
May 1999,113.00,-0.76 %
Jun 1999,111.41,-1.41 %
Jul 1999,103.02,-7.53 %
Aug 1999,111.30,8.04 %
Sep 1999,113.19,1.70 %
Oct 1999,108.10,-4.50 %
Nov 1999,108.80,0.65 %
Dec 1999,102.16,-6.10 %
Jan 2000,105.83,3.59 %
Feb 2000,107.93,1.98 %
Mar 2000,105.70,-2.07 %
Apr 2000,105.11,-0.56 %
May 2000,112.14,6.69 %
Jun 2000,113.51,1.22 %
Jul 2000,108.98,-3.99 %
Aug 2000,108.36,-0.57 %
Sep 2000,117.49,8.43 %
Oct 2000,128.18,9.10 %
Nov 2000,127.73,-0.35 %
Dec 2000,128.09,0.28 %
Jan 2001,132.84,3.71 %
Feb 2001,128.11,-3.56 %
Mar 2001,130.20,1.63 %
Apr 2001,129.67,-0.41 %
May 2001,134.86,4.00 %
Jun 2001,127.23,-5.66 %
Jul 2001,123.79,-2.70 %
Aug 2001,121.92,-1.51 %
Sep 2001,122.03,0.09 %
Oct 2001,123.34,1.07 %
Nov 2001,125.27,1.56 %
Dec 2001,122.44,-2.26 %
Jan 2002,125.31,2.34 %
Feb 2002,123.28,-1.62 %
Mar 2002,122.54,-0.60 %
Apr 2002,123.72,0.96 %
May 2002,121.46,-1.83 %
Jun 2002,132.03,8.70 %
Jul 2002,149.31,13.09 %
Aug 2002,161.26,8.00 %
Sep 2002,187.84,16.48 %
Oct 2002,190.32,1.32 %
Nov 2002,177.38,-6.80 %
Dec 2002,162.48,-8.40 %
Jan 2003,149.61,-7.92 %
Feb 2003,150.84,0.82 %
Mar 2003,141.81,-5.99 %
Apr 2003,138.62,-2.25 %
May 2003,141.96,2.41 %
Jun 2003,131.35,-7.47 %
Jul 2003,131.62,0.21 %
Aug 2003,148.72,12.99 %
Sep 2003,145.62,-2.08 %
Oct 2003,147.46,1.26 %
Nov 2003,160.55,8.88 %
Dec 2003,165.57,3.13 %
Jan 2004,166.33,0.46 %
Feb 2004,161.39,-2.97 %
Mar 2004,166.28,3.03 %
Apr 2004,166.58,0.18 %
May 2004,163.73,-1.71 %
Jun 2004,154.74,-5.49 %
Jul 2004,150.60,-2.68 %
Aug 2004,141.29,-6.18 %
Sep 2004,151.03,6.89 %
Oct 2004,150.15,-0.58 %
Nov 2004,156.57,4.28 %
Dec 2004,153.87,-1.72 %
Jan 2005,153.59,-0.18 %
Feb 2005,151.17,-1.58 %
Mar 2005,150.99,-0.12 %
Apr 2005,140.88,-6.70 %
May 2005,143.33,1.74 %
Jun 2005,141.93,-0.98 %
Jul 2005,143.87,1.37 %
Aug 2005,149.36,3.82 %
Sep 2005,159.71,6.93 %
Oct 2005,167.83,5.08 %
Nov 2005,161.12,-4.00 %
Dec 2005,164.44,2.06 %
Jan 2006,167.16,1.65 %
Feb 2006,179.84,7.59 %
Mar 2006,174.44,-3.00 %
Apr 2006,180.35,3.39 %
May 2006,193.17,7.11 %
Jun 2006,195.16,1.03 %
Jul 2006,202.43,3.73 %
Aug 2006,189.91,-6.18 %
Sep 2006,195.98,3.20 %
Oct 2006,212.09,8.22 %
Nov 2006,209.68,-1.14 %
Dec 2006,204.31,-2.56 %
Jan 2007,196.07,-4.03 %
Feb 2007,199.98,1.99 %
Mar 2007,199.10,-0.44 %
Apr 2007,198.31,-0.40 %
May 2007,195.72,-1.31 %
Jun 2007,223.04,13.96 %
Jul 2007,238.41,6.89 %
Aug 2007,259.73,8.94 %
Sep 2007,326.54,25.72 %
Oct 2007,335.15,2.64 %
Nov 2007,321.81,-3.98 %
Dec 2007,368.62,14.55 %
Jan 2008,370.66,0.55 %
Feb 2008,425.00,14.66 %
Mar 2008,439.72,3.46 %
Apr 2008,362.23,-17.62 %
May 2008,328.76,-9.24 %
Jun 2008,348.55,6.02 %
Jul 2008,328.18,-5.84 %
Aug 2008,329.34,0.35 %
Sep 2008,295.55,-10.26 %
Oct 2008,237.38,-19.68 %
Nov 2008,226.85,-4.44 %
Dec 2008,220.14,-2.96 %
Jan 2009,239.11,8.62 %
Feb 2009,224.69,-6.03 %
Mar 2009,230.98,2.80 %
Apr 2009,233.47,1.08 %
May 2009,261.48,12.00 %
Jun 2009,256.64,-1.85 %
Jul 2009,224.85,-12.39 %
Aug 2009,210.37,-6.44 %
Sep 2009,191.09,-9.16 %
Oct 2009,198.85,4.06 %
Nov 2009,211.04,6.13 %
Dec 2009,206.25,-2.27 %
Jan 2010,201.19,-2.45 %
Feb 2010,194.00,-3.57 %
Mar 2010,191.08,-1.51 %
Apr 2010,192.87,0.94 %
May 2010,181.61,-5.84 %
Jun 2010,157.67,-13.18 %
Jul 2010,195.82,24.20 %
Aug 2010,246.25,25.75 %
Sep 2010,271.67,10.32 %
Oct 2010,270.23,-0.53 %
Nov 2010,274.08,1.42 %
Dec 2010,306.52,11.84 %
Jan 2011,326.56,6.54 %
Feb 2011,348.12,6.60 %
Mar 2011,316.75,-9.01 %
Apr 2011,336.12,6.12 %
May 2011,355.28,5.70 %
Jun 2011,326.43,-8.12 %
Jul 2011,303.88,-6.91 %
Aug 2011,327.07,7.63 %
Sep 2011,315.92,-3.41 %
Oct 2011,289.01,-8.52 %
Nov 2011,281.01,-2.77 %
Dec 2011,269.03,-4.26 %
Jan 2012,274.89,2.18 %
Feb 2012,277.77,1.05 %
Mar 2012,283.88,2.20 %
Apr 2012,266.32,-6.19 %
May 2012,264.36,-0.74 %
Jun 2012,276.19,4.47 %
Jul 2012,345.69,25.16 %
Aug 2012,349.40,1.07 %
Sep 2012,353.42,1.15 %
Oct 2012,358.20,1.35 %
Nov 2012,360.82,0.73 %
Dec 2012,347.96,-3.56 %
Jan 2013,335.47,-3.59 %
Feb 2013,318.94,-4.93 %
Mar 2013,309.75,-2.88 %
Apr 2013,308.28,-0.47 %
May 2013,319.67,3.69 %
Jun 2013,313.42,-1.96 %
Jul 2013,304.61,-2.81 %
Aug 2013,305.34,0.24 %
Sep 2013,307.51,0.71 %
Oct 2013,325.69,5.91 %
Nov 2013,306.75,-5.82 %
Dec 2013,291.56,-4.95 %
Jan 2014,275.58,-5.48 %
Feb 2014,292.11,6.00 %
Mar 2014,323.71,10.82 %
Apr 2014,324.81,0.34 %
May 2014,334.73,3.05 %
Jun 2014,306.44,-8.45 %
Jul 2014,280.35,-8.51 %
Aug 2014,263.45,-6.03 %
Sep 2014,243.61,-7.53 %
Oct 2014,245.45,0.76 %
Nov 2014,258.68,5.39 %
Dec 2014,269.70,4.26 %
Jan 2015,248.39,-7.90 %
Feb 2015,237.00,-4.59 %
Mar 2015,230.75,-2.64 %
Apr 2015,223.40,-3.18 %
May 2015,215.32,-3.62 %
Jun 2015,209.81,-2.56 %
Jul 2015,197.31,-5.96 %
Aug 2015,179.68,-8.94 %
Sep 2015,172.70,-3.88 %
Oct 2015,172.71,0.01 %
Nov 2015,177.10,2.54 %
Dec 2015,189.23,6.85 %
Jan 2016,193.27,2.13 %
Feb 2016,187.03,-3.23 %
Mar 2016,191.07,2.16 %
Apr 2016,187.39,-1.93 %
May 2016,171.96,-8.23 %
Jun 2016,173.06,0.64 %
Jul 2016,151.75,-12.31 %
Aug 2016,149.18,-1.69 %
Sep 2016,150.65,0.99 %
Oct 2016,151.75,0.73 %
Nov 2016,150.65,-0.72 %
Dec 2016,141.83,-5.85 %
Jan 2017,153.22,8.03 %
Feb 2017,155.06,1.20 %
Mar 2017,154.32,-0.48 %
Apr 2017,166.08,7.62 %
May 2017,180.41,8.63 %
Jun 2017,189.60,5.09 %
Jul 2017,202.46,6.78 %
Aug 2017,171.23,-15.43 %
Sep 2017,178.57,4.29 %
Oct 2017,175.63,-1.65 %
Nov 2017,179.68,2.31 %
Dec 2017,184.09,2.45 %
Jan 2018,192.17,4.39 %
Feb 2018,192.17,0.00 %
Mar 2018,192.17,0.00 %
Apr 2018,213.85,11.28 %
May 2018,213.85,0.00 %
Jun 2018,219.36,2.58 %
Jul 2018,218.26,-0.50 %
Aug 2018,236.63,8.42 %
Sep 2018,212.38,-10.25 %
Oct 2018,213.48,0.52 %
Nov 2018,203.56,-4.65 %
Dec 2018,211.28,3.79 %
Jan 2019,209.81,-0.70 %
Feb 2019,218.99,4.38 %
Mar 2019,205.76,-6.04 %
Apr 2019,199.52,-3.03 %
May 2019,199.52,0.00 %
Jun 2019,206.13,3.31 %
Jul 2019,196.21,-4.81 %
Aug 2019,181.15,-7.68 %
Sep 2019,189.60,4.66 %
Oct 2019,199.52,5.23 %
Nov 2019,203.19,1.84 %
Dec 2019,210.91,3.80 %
